Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 3,2022-10-05 09:57:30,2022-10-05 17:26:53,0 days 07:29:23,2022-10-05,morning,449.3833333333333
Staff 3,2022-10-06 10:13:32,2022-10-06 17:34:27,0 days 07:20:55,2022-10-06,morning,440.9166666666667
Staff 3,2022-10-07 09:58:54,2022-10-07 16:53:20,0 days 06:54:26,2022-10-07,morning,414.43333333333334
Staff 3,2022-10-10 10:09:12,2022-10-10 16:26:39,0 days 06:17:27,2022-10-10,morning,377.45
Staff 3,2022-10-12 10:11:54,2022-10-12 17:06:49,0 days 06:54:55,2022-10-12,morning,414.9166666666667
Staff 3,2022-10-13 09:28:05,2022-10-13 17:59:34,0 days 08:31:29,2022-10-13,morning,511.48333333333335
Staff 3,2022-10-14 09:01:40,2022-10-14 17:17:19,0 days 08:15:39,2022-10-14,morning,495.65
Staff 3,2022-10-17 09:45:21,2022-10-17 17:19:36,0 days 07:34:15,2022-10-17,morning,454.25
Staff 3,2022-10-18 09:53:31,2022-10-18 17:14:59,0 days 07:21:28,2022-10-18,morning,441.46666666666664
Staff 30,2022-10-03 10:05:13,2022-10-03 17:26:57,0 days 07:21:44,2022-10-03,morning,441.73333333333335
Staff 30,2022-10-04 10:01:27,2022-10-04 17:36:34,0 days 07:35:07,2022-10-04,morning,455.1166666666667
Staff 30,2022-10-05 10:04:46,2022-10-05 17:58:41,0 days 07:53:55,2022-10-05,morning,473.9166666666667
Staff 30,2022-10-06 09:26:09,2022-10-06 17:33:51,0 days 08:07:42,2022-10-06,morning,487.7
Staff 30,2022-10-07 10:05:40,2022-10-07 17:55:19,0 days 07:49:39,2022-10-07,morning,469.65
Staff 30,2022-10-08 12:04:10,2022-10-08 12:07:58,0 days 00:03:48,2022-10-08,morning,3.8
Staff 30,2022-10-10 10:02:33,2022-10-10 17:11:10,0 days 07:08:37,2022-10-10,morning,428.6166666666667
Staff 30,2022-10-11 09:09:37,2022-10-11 17:59:56,0 days 08:50:19,2022-10-11,morning,530.3166666666667
Staff 30,2022-10-12 09:59:13,2022-10-12 17:26:24,0 days 07:27:11,2022-10-12,morning,447.18333333333334
Staff 30,2022-10-13 10:05:52,2022-10-13 16:45:02,0 days 06:39:10,2022-10-13,morning,399.1666666666667
Staff 30,2022-10-14 09:52:11,2022-10-14 17:20:19,0 days 07:28:08,2022-10-14,morning,448.1333333333333
Staff 30,2022-10-17 09:58:52,2022-10-17 17:19:13,0 days 07:20:21,2022-10-17,morning,440.35
Staff 30,2022-10-18 10:01:10,2022-10-18 17:02:37,0 days 07:01:27,2022-10-18,morning,421.45
Staff 30,2022-10-19 09:04:54,2022-10-19 17:59:17,0 days 08:54:23,2022-10-19,morning,534.3833333333333
Staff 30,2022-10-20 09:02:55,2022-10-20 17:34:06,0 days 08:31:11,2022-10-20,morning,511.18333333333334
