Technician,Location,from,to
Staff 10,"20.808,14.3","9/29/2022, 10:20:26 AM","9/29/2022, 10:36:58 AM"
Staff 10,"17.912,14.631","9/29/2022, 10:36:58 AM","9/29/2022, 10:37:02 AM"
Staff 10,"18.936,14.859","9/29/2022, 10:37:02 AM","9/29/2022, 10:37:04 AM"
Staff 10,"18.832,14.852","9/29/2022, 10:37:04 AM","9/29/2022, 10:37:07 AM"
Staff 10,"20.022,14.814","9/29/2022, 10:37:07 AM","9/29/2022, 10:37:08 AM"
Staff 10,"18.832,14.852","9/29/2022, 10:37:08 AM","9/29/2022, 10:37:18 AM"
Staff 10,"19.964,14.677","9/29/2022, 10:37:18 AM","9/29/2022, 10:37:26 AM"
Staff 10,"20.838,13.998","9/29/2022, 10:37:26 AM","9/29/2022, 10:37:32 AM"
Staff 10,"20.335,14.877","9/29/2022, 10:37:32 AM","9/29/2022, 10:37:35 AM"
Staff 10,"18.832,14.852","9/29/2022, 10:37:35 AM","9/29/2022, 10:37:43 AM"
Staff 10,"19.724,14.227","9/29/2022, 10:37:43 AM","9/29/2022, 10:37:57 AM"
Staff 10,"20.534,14.842","9/29/2022, 10:37:57 AM","9/29/2022, 10:38:10 AM"
Staff 10,"19.698,14.241","9/29/2022, 10:38:10 AM","9/29/2022, 10:38:11 AM"
Staff 10,"18.832,14.852","9/29/2022, 10:38:11 AM","9/29/2022, 10:38:12 AM"
Staff 10,"19.687,14.123","9/29/2022, 10:38:12 AM","9/29/2022, 10:38:26 AM"
Staff 10,"20.551,14.652","9/29/2022, 10:38:26 AM","9/29/2022, 10:38:46 AM"
Staff 10,"20.219,13.683","9/29/2022, 10:38:46 AM","9/29/2022, 10:38:54 AM"
Staff 10,"18.832,14.852","9/29/2022, 10:38:54 AM","9/29/2022, 10:39:17 AM"
Staff 10,"17.548,14.654","9/29/2022, 10:39:17 AM","9/29/2022, 10:39:17 AM"
Staff 10,"18.832,14.852","9/29/2022, 10:39:17 AM","9/29/2022, 10:39:21 AM"
Staff 10,"17.592,15.021","9/29/2022, 10:39:21 AM","9/29/2022, 10:39:27 AM"
Staff 10,"16.516,15.304","9/29/2022, 10:39:27 AM","9/29/2022, 10:39:35 AM"
Staff 10,"17.898,14.511","9/29/2022, 10:39:35 AM","9/29/2022, 10:39:36 AM"
Staff 10,"18.832,14.852","9/29/2022, 10:39:36 AM","9/29/2022, 10:39:38 AM"
